ACCODE,ACC_NM,2015-12-01,2016-12-01,2017-12-01,2018-12-01,2019-12-01
131000,장기충당부채,NaN,NaN,NaN,NaN,NaN
131090,이연법인세부채,5815.744240000001,5266.7061401,5053.1589142,5345.423296200001,4705.4491465
190840,장기당기법인세부채(미지급법인세),NaN,NaN,NaN,NaN,NaN
115460,계약부채,NaN,NaN,NaN,763.0996469,1187.6868635
115470,반품(환불)부채,NaN,NaN,NaN,NaN,NaN
115480,배출부채,NaN,NaN,NaN,NaN,NaN
131120,기타비유동부채,NaN,NaN,NaN,NaN,60.1176808
190850,장기선수금,NaN,NaN,NaN,NaN,60.11768000000001
190860,장기선수수익,NaN,NaN,NaN,NaN,NaN
190890,이연수익,NaN,NaN,NaN,NaN,NaN
190920,기타,NaN,NaN,NaN,NaN,NaN
132780,기타금융업부채,NaN,NaN,NaN,NaN,NaN
190980,이자발생부채,25123.405400000003,8430.57278,5459.121480000001,8726.961070000001,6537.064090100001
190990,순부채,24778.304780000002,-3572.8032262,1878.2405658000002,-2350.0631484,-14.3453747
191000,CAPEX,2403.2634500000004,1629.9234998,4941.194531200001,2786.4725572000007,1717.343577
120000,자본총계,27748.341590000004,40823.794595700005,39764.508923600006,41554.6845115,43544.5374537
120010,지배주주지분,27748.341590000004,40823.794595700005,39764.508923600006,41554.6845115,43544.5374537
120020,자본금,1378.43605,1654.1250000000002,1654.1250000000002,1654.1250000000002,1654.1250000000002
120030,보통주자본금,1378.43605,1654.1250000000002,1654.1250000000002,1654.1250000000002,1654.1250000000002
120040,우선주자본금,NaN,NaN,NaN,NaN,NaN
120710,신종자본증권,NaN,NaN,NaN,NaN,NaN
120050,자본잉여금,10306.20605,24873.130820200004,24873.130820200004,24873.130820200004,24873.130820200004
120060,주식발행초과금,10398.909310000001,24965.83409,24965.83409,24965.83409,24965.83409
120150,전환권대가,NaN,NaN,NaN,NaN,NaN
120160,신주인수권대가,NaN,NaN,NaN,NaN,NaN
120170,교환권대가,NaN,NaN,NaN,NaN,NaN
190680,기타,-92.70327,-92.70327,-92.70327,-92.70327,-92.70327
120210,기타자본,NaN,NaN,NaN,NaN,NaN
120220,자기주식,NaN,NaN,NaN,NaN,NaN
120230,자기주식처분손실,NaN,NaN,NaN,NaN,NaN
190690,기타,NaN,NaN,NaN,NaN,NaN
120310,기타포괄이익누계액,48.396660000000004,49.470045400000004,-40.09446870000001,-69.7596109,-108.94765960000002
120320,금융자산평가손익,NaN,NaN,NaN,NaN,NaN
115560,당기손익-공정가치측정금융부채평가손익,NaN,NaN,NaN,NaN,NaN
115570,당기손익조정접근법조정손익,NaN,NaN,NaN,NaN,NaN
115580,기타포괄손익-공정가치측정금융자산평가손익,NaN,NaN,NaN,NaN,NaN
120330,매도가능금융자산평가손익,NaN,NaN,NaN,NaN,NaN
120340,관계기업등기타포괄이익,96.64244000000001,113.67511,46.00672,55.64266000000001,54.33278000000001
120350,환산관련외환차이적립금(환율변동차이),NaN,NaN,NaN,NaN,NaN
120380,현금흐름위험회피적립금,NaN,NaN,NaN,NaN,NaN
120400,재평가잉여금,NaN,NaN,NaN,NaN,NaN
190700,기타,-48.24578,-64.20506,-86.10119,-125.40227000000002,-163.28044000000003
120460,이익잉여금,16015.30283,14247.068730100002,13277.347572000002,15097.188302100001,17126.229293
120470,(지배)당기순이익,19049.459170000002,-1768.2340953000003,-969.7211581000001,2241.0919487,2029.0409909000002
120620,비지배주주지분,NaN,NaN,NaN,NaN,NaN
120630,(비지배)당기순이익,NaN,NaN,NaN,NaN,NaN
120650,수권주식수,100000.0,500000.0,500000.0,500000.0,500000.0
120660,1주당금액,5000.0,2500.0,2500.0,2500.0,2500.0
120670,발행주식수,27569.0,66165.0,66165.0,66165.0,66165.0
120680,보통주,27569.0,66165.0,66165.0,66165.0,66165.0
120690,우선주,NaN,NaN,NaN,NaN,NaN
