ACCODE,ACC_NM,2015-12-01,2016-12-01,2017-12-01,2018-12-01,2019-12-01
204250,자산재평가손실,NaN,NaN,NaN,NaN,NaN
204260,파생상품손실,NaN,NaN,NaN,NaN,NaN
204300,자산손상차손,NaN,NaN,NaN,NaN,NaN
204560,지분법관련손실,NaN,NaN,NaN,NaN,NaN
292800,기타,NaN,NaN,NaN,NaN,NaN
204490,영업이익(발표기준),NaN,NaN,659.7940241,556.7874453000001,917.4238720000001
204750,구K-IFRS영업이익,NaN,NaN,NaN,NaN,NaN
202210,금융수익,68.44724000000001,143.485671,232.19774850000005,193.20789460000003,275.4074355
202220,이자수익,11.823110000000002,36.3965,99.49872,96.51186000000001,172.46464
202230,배당금수익,NaN,NaN,NaN,NaN,NaN
202240,외환거래이익,56.62413000000001,107.08917000000001,132.69903000000002,92.87159000000001,86.93741000000001
202250,외환차익,51.074850000000005,78.83685000000001,97.57456,91.74513,85.50315
202260,외화환산이익,5.54928,28.25232,35.12447,1.12646,1.43426
202270,기타외화거래이익,NaN,NaN,NaN,NaN,NaN
202280,대손충당금환입액,NaN,NaN,NaN,NaN,NaN
205180,당기손익-공정가치측정금융자산관련이익,NaN,NaN,NaN,NaN,NaN
202290,금융자산처분이익,NaN,NaN,NaN,3.01927,3.61459
205190,당기손익-공정가치측정금융자산처분이익,NaN,NaN,NaN,3.01927,3.61459
205210,기타포괄손익-공정가치측정금융자산처분이익,NaN,NaN,NaN,NaN,NaN
205220,상각후원가측정금융자산처분이익,NaN,NaN,NaN,NaN,NaN
293000,단기금융자산처분이익,NaN,NaN,NaN,NaN,NaN
293100,장기금융자산처분이익,NaN,NaN,NaN,NaN,NaN
202350,기타금융자산처분이익,NaN,NaN,NaN,NaN,NaN
202370,금융자산평가이익,NaN,NaN,NaN,0.80517,0.45759000000000005
205230,당기손익-공정가치측정금융자산평가이익,NaN,NaN,NaN,0.80517,0.45759000000000005
293200,단기금융자산평가이익,NaN,NaN,NaN,NaN,NaN
293300,장기금융자산평가이익,NaN,NaN,NaN,NaN,NaN
202430,기타금융자산평가이익,NaN,NaN,NaN,NaN,NaN
202440,파생상품이익,NaN,NaN,NaN,NaN,11.93321
202480,금융자산손상차손환입,NaN,NaN,NaN,NaN,NaN
204570,"종속기업,공동지배기업및관계기업(지분법)관련이익",NaN,NaN,NaN,NaN,NaN
291400,기타,NaN,NaN,NaN,NaN,NaN
202550,금융원가,18411.96798,867.8308114000001,763.4533198000001,243.37216590000003,386.82642610000005
202560,이자비용,26.504700000000003,192.54372,56.839830000000006,158.38589000000002,256.14722
202570,외환거래손실,181.07278000000002,134.96815,115.69865000000001,83.08298,130.67921
202580,외환차손,89.18343,95.34066000000001,112.38606000000001,50.163850000000004,56.31794000000001
202590,외화환산손실,91.88935000000001,39.62749,3.31259,32.91913,74.36127
202600,기타외환거래손실,NaN,NaN,NaN,NaN,NaN
202610,대손상각비,NaN,NaN,NaN,NaN,NaN
205260,당기손익-공정가치측정금융자산관련손실,NaN,NaN,NaN,NaN,NaN
202620,금융자산처분손실,NaN,NaN,NaN,NaN,NaN
205270,당기손익-공정가치측정금융자산처분손실,NaN,NaN,NaN,NaN,NaN
205280,기타포괄손익-공정가치측정금융자산처분손실,NaN,NaN,NaN,NaN,NaN
205290,상각후원가측정금융자산처분손실,NaN,NaN,NaN,NaN,NaN
293400,단기금융자산처분손실,NaN,NaN,NaN,NaN,NaN
293500,장기금융자산처분손실,NaN,NaN,NaN,NaN,NaN
202680,기타금융자산처분손실,NaN,NaN,NaN,NaN,NaN
202700,금융자산평가손실,NaN,NaN,NaN,NaN,NaN
205310,당기손익-공정가치측정금융자산평가손실,NaN,NaN,NaN,NaN,NaN
293600,단기금융자산평가손실,NaN,NaN,NaN,NaN,NaN
293700,장기금융자산평가손실,NaN,NaN,NaN,NaN,NaN
202760,기타금융자산평가손실,NaN,NaN,NaN,NaN,NaN
202770,파생상품손실,18204.3905,540.31894,590.91484,1.9033000000000002,NaN
202810,금융자산손상차손,NaN,NaN,NaN,NaN,NaN
204580,"종속기업,공동지배기업및관계기업(지분법)관련손실",NaN,NaN,NaN,NaN,NaN
291600,기타,NaN,NaN,NaN,NaN,NaN
204410,기타영업외손익,18.423280000000002,11.788194500000001,7.537400400000001,3816.5085264000004,18.947054400000003
201390,기타영업외수익,26.635810000000003,12.178296100000003,8.8998339,3903.991254100001,40.034867500000004
204760,이자수익,NaN,NaN,NaN,NaN,NaN
204770,배당금수익,NaN,NaN,NaN,NaN,NaN
201420,외환거래이익,NaN,NaN,NaN,NaN,NaN
201430,외환차익,NaN,NaN,NaN,NaN,NaN
201440,외화환산이익,NaN,NaN,NaN,NaN,NaN
201450,기타외화거래이익,NaN,NaN,NaN,NaN,NaN
201470,임대료,0.6265200000000001,5.6229000000000005,4.87683,4.979920000000001,13.675250000000002
201500,대손충당금환입,NaN,NaN,NaN,NaN,NaN
201520,자산처분(폐기)이익,6.82927,NaN,NaN,0.12821000000000002,0.006370000000000001
201530,투자부동산처분이익,NaN,NaN,NaN,NaN,NaN
201540,투자자산처분이익,NaN,NaN,NaN,NaN,NaN
201550,"유형,리스자산처분이익",NaN,NaN,NaN,0.12821000000000002,0.006370000000000001
205360,당기손익-공정가치측정금융자산처분이익,NaN,NaN,NaN,NaN,NaN
205370,기타포괄손익-공정가치측정금융자산처분이익,NaN,NaN,NaN,NaN,NaN
205380,상각후원가측정금융자산처분이익,NaN,NaN,NaN,NaN,NaN
290800,기타,6.82927,NaN,NaN,NaN,NaN
205390,당기손익-공정가치측정금융자산평가이익,NaN,NaN,NaN,NaN,NaN
201600,자산평가이익,NaN,NaN,NaN,NaN,NaN
201610,자산재평가이익,NaN,NaN,NaN,NaN,NaN
201660,자산손상차손환입,NaN,NaN,NaN,NaN,NaN
204590,"종속기업,공동지배기업및관계기업(지분법)관련이익",NaN,NaN,NaN,3892.1367200000004,NaN
290900,기타,19.180020000000003,6.555400000000001,4.023000000000001,6.7464,26.353250000000003
201830,기타영업외비용,8.212530000000001,0.39010160000000005,1.3624335,87.4827277,21.0878131
204800,이자비용,NaN,NaN,NaN,NaN,NaN
201850,외환거래손실,NaN,NaN,NaN,NaN,NaN
201860,외환차손,NaN,NaN,NaN,NaN,NaN
201870,외화환산손실,NaN,NaN,NaN,NaN,NaN
201880,기타외환거래손실,NaN,NaN,NaN,NaN,NaN
201890,기타대손상각비,NaN,NaN,NaN,NaN,NaN
201900,충당부채전입액,NaN,NaN,NaN,NaN,NaN
201960,자산처분(폐기)손실,5.839860000000001,0.01033,0.44546,6.252650000000001,8.06729
204500,매출채권처분손실,NaN,NaN,NaN,NaN,NaN
201970,투자부동산처분손실,NaN,NaN,NaN,NaN,NaN
201980,투자자산처분손실,NaN,NaN,NaN,NaN,NaN
201990,"유형,리스자산처분손실",5.839860000000001,0.01033,0.049460000000000004,6.145090000000001,6.091620000000001
205470,당기손익-공정가치측정금융자산처분손실,NaN,NaN,NaN,NaN,NaN
205480,기타포괄손익-공정가치측정금융자산처분손실,NaN,NaN,NaN,NaN,NaN
205490,상각후원가측정금융자산처분손실,NaN,NaN,NaN,NaN,NaN
291100,기타,NaN,NaN,0.396,0.10756,1.9756700000000003
205510,당기손익-공정가치측정금융자산평가손실,NaN,NaN,NaN,NaN,NaN
202040,자산평가손실,NaN,NaN,NaN,NaN,NaN
202050,자산재평가손실,NaN,NaN,NaN,NaN,NaN
202100,자산손상차손,NaN,NaN,NaN,NaN,3.596
204600,"종속기업,공동지배기업및관계기업(지분법)관련손실",NaN,NaN,NaN,NaN,NaN
291200,기타,2.3726700000000003,0.37977000000000005,0.9169700000000001,81.23008,9.424520000000001
202880,"종속기업,공동지배기업및관계기업관련손익",45242.148,-1292.2264999000001,-1296.0233843,-1293.3733279000003,729.4011569
202890,지분법관련손익,-193.95735000000002,-1292.2264999000001,-1296.0233843,-1293.3733279000003,729.4011569
202900,지분법이익,NaN,NaN,NaN,NaN,729.4011569
202910,지분법손실,-193.95735000000002,-1292.2264999000001,-1296.0233843,-1293.3733279000003,NaN
291800,기타,NaN,NaN,NaN,NaN,NaN
202990,관계기업처분손익,NaN,NaN,NaN,NaN,NaN
203000,관계기업처분이익,NaN,NaN,NaN,NaN,NaN
203010,관계기업처분손실,NaN,NaN,NaN,NaN,NaN
291900,기타,NaN,NaN,NaN,NaN,NaN
203050,종속기업관련손익,45436.105350000005,NaN,NaN,NaN,NaN
203060,종속기업처분이익,45436.105350000005,NaN,NaN,NaN,NaN
203070,종속기업처분손실,NaN,NaN,NaN,NaN,NaN
292000,기타,NaN,NaN,NaN,NaN,NaN
203110,기타,NaN,NaN,NaN,NaN,NaN
203120,법인세비용차감전계속사업이익,24880.6261,-2309.0098315000005,-1159.947531,3029.7583725000004,1554.3530926
203130,법인세비용,5831.16694,-540.7757363000001,-190.2263729,788.6664238,-474.68789830000003
203165,종속회사매수일전순손익,NaN,NaN,NaN,NaN,NaN
205560,처분된종속회사순손익,NaN,NaN,NaN,NaN,NaN
203140,계속사업이익,19049.459170000002,-1768.2340953000003,-969.7211581000001,2241.0919487,2029.0409909000002
203150,중단사업이익,NaN,NaN,NaN,NaN,NaN
203160,중단사업법인세효과,NaN,NaN,NaN,NaN,NaN
203170,당기순이익,19049.459170000002,-1768.2340953000003,-969.7211581000001,2241.0919487,2029.0409909000002
203180,(지배주주지분)당기순이익,19049.459170000002,-1768.2340953000003,-969.7211581000001,2241.0919487,2029.0409909000002
203190,(비지배주주지분)당기순이익,NaN,NaN,NaN,NaN,NaN
203195,(지배주주지분)연결당기순이익,NaN,NaN,NaN,NaN,NaN
203200,기타포괄이익,-85.35494000000001,1.0733843,-89.56451400000002,-29.665142200000005,-39.1880487
203210,금융자산평가손익,NaN,NaN,NaN,NaN,NaN
205570,당기손익-공정가치측정금융부채평가손익,NaN,NaN,NaN,NaN,NaN
205580,당기손익조정접근법조정손익,NaN,NaN,NaN,NaN,NaN
205590,기타포괄손익-공정가치측정금융자산평가손익,NaN,NaN,NaN,NaN,NaN
203220,매도가능금융자산평가손익,NaN,NaN,NaN,NaN,NaN
203230,관계기업등기타포괄이익,-55.65214,17.0326719,-67.66838530000001,9.6359244,-1.3098618
203240,환산관련외환차이(환율변동차이),NaN,NaN,NaN,NaN,NaN
203250,현금흐름위험회피적립금,NaN,NaN,NaN,NaN,NaN
203270,재평가손익,NaN,NaN,NaN,NaN,NaN
203290,기타포괄이익관련법인세,NaN,NaN,NaN,NaN,NaN
292100,기타,-29.702790000000004,-15.959287600000001,-21.896128700000002,-39.301066500000005,-37.8781869
203300,총포괄이익,18964.10423,-1767.1607109000001,-1059.2856721,2211.4268065,1989.8529422000001
203310,(지배주주지분)총포괄이익,18964.10423,-1767.1607109000001,-1059.2856721,2211.4268065,1989.8529422000001
203320,(비지배주주지분)총포괄이익,NaN,NaN,NaN,NaN,NaN
203330,주당계속사업이익,77656.0,-3115.0,-1466.0,3387.0,3067.0
203340,주당순이익,77656.0,-3115.0,-1466.0,3387.0,3067.0
203350,희석주당계속사업이익,NaN,NaN,NaN,NaN,NaN
203360,희석주당순이익,NaN,NaN,NaN,NaN,NaN
203370,(지배주주지분)주당계속사업이익,77656.0,-3115.0,-1466.0,3387.0,3067.0
203380,(지배주주지분)주당순이익,77656.0,-3115.0,-1466.0,3387.0,3067.0
203390,(지배주주지분)희석주당계속사업이익,NaN,NaN,NaN,NaN,NaN
203400,(지배주주지분)희석주당순이익,NaN,NaN,NaN,NaN,NaN
