ACCODE,ACC_NM,2015-12-01,2016-12-01,2017-12-01,2018-12-01,2019-12-01
401470,비지배주주지분순이익,NaN,NaN,NaN,NaN,NaN
490300,기타,NaN,0.12017530000000001,NaN,0.458,NaN
401490,영업활동으로인한자산부채변동(운전자본변동),-959.5529700000001,-735.3057477,217.76898480000003,-1895.7813889,-1878.8618101
401500,영업활동자산의감소,-1467.82942,-925.4194749000001,-17.8320411,-2623.6459584000004,-2763.6244334
401510,매출채권및기타채권의감소,-203.69472000000002,-286.9357288,478.0707812,-963.9179678,-690.0055606999999
401580,대출채권의감소,NaN,NaN,NaN,NaN,NaN
401590,재고자산의감소,-1172.3890000000001,-437.67247740000005,-437.2817598,-904.4115462000001,-1563.2459465000002
401600,미수수익의감소,NaN,NaN,NaN,NaN,NaN
401610,선급금의감소,NaN,NaN,NaN,NaN,NaN
401620,선급공사비의감소,NaN,NaN,NaN,NaN,NaN
401630,선급외주비의감소,NaN,NaN,NaN,NaN,NaN
401640,선급비용의감소,NaN,NaN,NaN,NaN,NaN
401650,당기법인세자산(선급법인세)의감소,NaN,NaN,NaN,NaN,NaN
401660,선급제세의감소,NaN,NaN,NaN,NaN,NaN
401670,파생금융자산의감소,NaN,NaN,NaN,NaN,NaN
401680,자산보증금등의감소,NaN,-127.843,-54.007000000000005,-4.9503244,24.711711000000005
401690,이연법인세자산의감소,NaN,NaN,NaN,NaN,NaN
401700,기타금융업자산의감소,NaN,NaN,NaN,NaN,NaN
405070,대여금및수취채권의감소,NaN,NaN,NaN,NaN,NaN
404430,금융자산의감소,NaN,NaN,NaN,NaN,NaN
405040,계약자산(원가)의감소,NaN,NaN,NaN,-730.7045935,-526.5903756
405050,반품(회수권)자산(환불자산)의감소,NaN,NaN,NaN,NaN,NaN
405060,배출권의감소,NaN,NaN,NaN,NaN,NaN
401710,기타영업활동자산의감소,-91.74571,-72.96826870000001,-4.6140625,-19.6615265,-8.494261600000002
401720,매각예정자산의감소,NaN,NaN,NaN,NaN,NaN
401730,영업활동부채의증가,508.27645000000007,190.11372710000003,235.60102,727.8645700000001,884.7626233000001
401740,매입채무및기타채무의증가,6.9943100000000005,11.617073700000002,131.80780430000002,30.648845400000003,-1.5025195000000002
401800,공사선수금의증가,NaN,NaN,NaN,NaN,NaN
401810,분양선수금의증가,NaN,NaN,NaN,NaN,NaN
401820,선수금의증가,NaN,NaN,NaN,NaN,NaN
401830,선수수익의증가,NaN,NaN,NaN,NaN,NaN
401840,예수금의증가,NaN,NaN,NaN,NaN,NaN
401850,부가세예수금의증가,NaN,NaN,NaN,NaN,NaN
401860,미지급비용의증가,NaN,NaN,NaN,NaN,NaN
401870,당기법인세부채(미지급법인세)의증가,NaN,NaN,NaN,NaN,NaN
401880,미지급제세의증가,NaN,NaN,NaN,NaN,NaN
401890,파생상품부채의증가,NaN,NaN,NaN,NaN,NaN
401900,부채보증금등의증가,NaN,NaN,NaN,NaN,NaN
401910,충당부채의증가,NaN,NaN,NaN,NaN,NaN
494400,퇴직금관련,-49.04455,-112.62102210000002,-134.2511745,-75.13744910000001,-185.4456584
402020,이연법인세부채의증가,NaN,NaN,NaN,NaN,NaN
402030,기타금융업부채의증가,NaN,NaN,NaN,NaN,NaN
404440,금융부채의증가,NaN,NaN,NaN,NaN,NaN
405080,계약부채의증가,NaN,NaN,NaN,436.6440724000001,440.24466930000006
405090,반품(환불)부채의증가,NaN,NaN,NaN,NaN,NaN
405110,배출부채의증가,NaN,NaN,NaN,-5.020804500000001,-14.939816200000003
402040,기타영업활동부채의증가,550.3266900000001,291.1176755,238.04439620000002,340.7299017,646.4059481
402050,매각예정부채의증가,NaN,NaN,NaN,NaN,NaN
402060,정부보조금등의변동,NaN,NaN,NaN,NaN,NaN
402070,기타운전자본의변동,NaN,NaN,NaN,NaN,NaN
402080,영업에서창출된현금흐름,-2593.9208700000004,-391.8425222,1562.6989110000002,-170.13801890000002,619.7822119
402090,이자수입,14.371100000000002,8.2163207,104.33121320000001,84.86910230000001,166.2547288
402100,이자지급(-),-45.03598,-243.61814010000003,-170.36196210000003,-233.59097780000002,-263.4546608
402110,배당금수입,NaN,NaN,NaN,NaN,NaN
402120,배당금지급(-),NaN,NaN,NaN,NaN,NaN
402130,법인세환입,NaN,0.6313613,1.4951138000000002,NaN,NaN
402140,법인세납부(-),-30.55177,NaN,NaN,-11.3133789,-421.04613020000005
402150,중단사업관련현금흐름,NaN,NaN,NaN,NaN,NaN
402160,(직접법)총현금유입,NaN,NaN,NaN,NaN,NaN
402250,(직접법)총현금유출,NaN,NaN,NaN,NaN,NaN
402340,투자활동으로인한현금흐름,-4294.81515,-13728.244759200003,2651.8530299000004,-6313.8991916,3396.4193271
402350,투자활동현금유입액,37.9076,NaN,22700.010000000002,42394.738196900005,48800.423264900004
402360,유동금융자산의감소,NaN,NaN,22700.000000000004,27300.000000000004,32800.0
402410,당기손익인식(지정)금융자산의감소,NaN,NaN,NaN,NaN,NaN
405120,당기손익-공정가치측정금융자산의감소,NaN,NaN,NaN,7500.000000000001,16000.000000000002
405130,기타포괄손익-공정가치측정금융자산의감소,NaN,NaN,NaN,NaN,NaN
405140,상각후원가측정금융자산의감소,NaN,NaN,NaN,NaN,NaN
402440,리스(사용권)자산의감소,NaN,NaN,NaN,NaN,NaN
402450,리스채권의감소,NaN,NaN,NaN,NaN,NaN
402470,장기금융상품의감소,0.01,NaN,0.01,NaN,NaN
402480,매도가능금융자산의감소,NaN,NaN,NaN,NaN,NaN
402490,만기보유금융자산의감소,NaN,NaN,NaN,NaN,NaN
402500,장기대여금의감소,NaN,NaN,NaN,NaN,NaN
402510,파생상품의감소,NaN,NaN,NaN,NaN,NaN
402520,기타장기금융자산의감소,NaN,NaN,NaN,NaN,NaN
402530,관계기업등지분관련투자자산의감소,NaN,NaN,NaN,7594.60612,NaN
491100,"퇴직급여,보험,연금자산의감소",NaN,NaN,NaN,NaN,NaN
402610,생물자산의감소,NaN,NaN,NaN,NaN,NaN
402620,투자부동산의감소,NaN,NaN,NaN,NaN,NaN
402630,유형자산의감소,0.19760000000000003,NaN,NaN,0.132078,0.4232649
402640,토지의감소,NaN,NaN,NaN,NaN,NaN
494200,설비자산의감소,NaN,NaN,NaN,NaN,NaN
402670,건설중인자산의감소,NaN,NaN,NaN,NaN,NaN
494500,기타유형자산의감소,0.19760000000000003,NaN,NaN,0.132078,0.4232649
404460,무형자산의감소,35.0,NaN,NaN,NaN,NaN
402770,영업권의감소,NaN,NaN,NaN,NaN,NaN
402780,개발비의감소,NaN,NaN,NaN,NaN,NaN
402790,기타산업재산권의감소,NaN,NaN,NaN,NaN,NaN
494600,기타무형자산의감소,35.0,NaN,NaN,NaN,NaN
402810,선급금등의감소,NaN,NaN,NaN,NaN,NaN
402820,미수금의감소,NaN,NaN,NaN,NaN,NaN
